probe	class
KRT19	Epi
AGR2	Epi
RAB25	Epi
CDH1	Epi
ERBB3	Epi
FXYD3	Epi
SLC44A4	Epi
S100P	Epi
SCNN1A	Epi
GALNT3	Epi
PRSS8	Epi
ELF3	Epi
CEACAM6	Epi
TMPRSS4	Epi
CLDN7	Epi
TACSTD2	Epi
CLDN3	Epi
EPCAM	Epi
SPINT1	Epi
TSPAN1	Epi
PLS1	Epi
TMEM30B	Epi
PRR15L	Epi
KRT8	Epi
ST14	Epi
RBM47	Epi
S100A14	Epi
C1orf106	Epi
NQO1	Epi
TOX3	Epi
PTK6	Epi
TFF1	Epi
CLDN4	Epi
GPRC5A	Epi
TJP3	Epi
KRT18	Epi
MAP7	Epi
CKMT1A	Epi
ESRP1	Epi
MUC1	Epi
SPINT2	Epi
ESRP2	Epi
CDS1	Epi
PPAP2C	Epi
CEACAM7	Epi
TTC39A	Epi
OVOL2	Epi
EHF	Epi
AP1M2	Epi
CEACAM5	Epi
LAD1	Epi
ARHGAP8	Epi
TFF3	Epi
JUP	Epi
CD24	Epi
TMC5	Epi
MLPH	Epi
ELMO3	Epi
ERBB2	Epi
LLGL2	Epi
DDR1	Epi
FA2H	Epi
CBLC	Epi
TMPRSS2	Epi
LSR	Epi
PERP	Epi
POF1B	Epi
MYO5C	Epi
RAB11FIP1	Epi
MAPK13	Epi
KRT7	Epi
CEACAM1	Epi
CXADR	Epi
ATP2C2	Epi
RNF128	Epi
MPZL2	Epi
EPS8L1	Epi
GALNT7	Epi
CORO2A	Epi
BCAS1	Epi
TPD52	Epi
ARHGAP32	Epi
FUT2	Epi
OR7E14P	Epi
GALE	Epi
GRHL2	Epi
BIK	Epi
RAPGEFL1	Epi
STYK1	Epi
F11R	Epi
PKP3	Epi
CYB561	Epi
SH3YL1	Epi
GDF15	Epi
PSCA	Epi
EZR	Epi
TJP2	Epi
FGFR3	Epi
FUT3	Epi
BSPRY	Epi
TOM1L1	Epi
IRF6	Epi
EPB41L4B	Epi
SPDEF	Epi
OCLN	Epi
LRRC1	Epi
C19orf21	Epi
ABHD11	Epi
EPS8L2	Epi
MYO6	Epi
TSPAN8	Epi
MST1R	Epi
SLC16A5	Epi
GPR56	Epi
AZGP1	Epi
TOB1	Epi
SLC35A3	Epi
TRPM4	Epi
PHLDA2	Epi
VAMP8	Epi
SLC22A18	Epi
