Metabolic Function	Gene Name
Ferroptosis Driver	RPL8
Ferroptosis Driver	IREB2
Ferroptosis Driver	ATP5MC3
Ferroptosis Driver	CS
Ferroptosis Driver	EMC2
Ferroptosis Driver	ACSF2
Ferroptosis Driver	NOX1
Ferroptosis Driver	CYBB
Ferroptosis Driver	NOX3
Ferroptosis Driver	NOX4
Ferroptosis Driver	NOX5
Ferroptosis Driver	DUOX1
Ferroptosis Driver	DUOX2
Ferroptosis Driver	G6PD
Ferroptosis Driver	PGD
Ferroptosis Driver	VDAC2
Ferroptosis Driver	TP53
Ferroptosis Driver	ACSL4
Ferroptosis Driver	LPCAT3
Ferroptosis Driver	NRAS
Ferroptosis Driver	KRAS
Ferroptosis Driver	HRAS
Ferroptosis Driver	CARS1
Ferroptosis Driver	TP53
Ferroptosis Driver	KEAP1
Ferroptosis Driver	HMOX1
Ferroptosis Driver	TP53
Ferroptosis Driver	ATG5
Ferroptosis Driver	ATG7
Ferroptosis Driver	NCOA4
Ferroptosis Driver	TF
Ferroptosis Driver	ALOX5
Ferroptosis Driver	ALOX12
Ferroptosis Driver	ALOX12B
Ferroptosis Driver	ALOX15
Ferroptosis Driver	ALOX15B
Ferroptosis Driver	ALOXE3
Ferroptosis Driver	PHKG2
Ferroptosis Driver	NCOA4
Ferroptosis Driver	ACSL4
Ferroptosis Driver	TP53
Ferroptosis Driver	SAT1
Ferroptosis Driver	ALOX15
Ferroptosis Driver	ACSL4
Ferroptosis Driver	EGFR
Ferroptosis Driver	NOX4
Ferroptosis Driver	MAPK3
Ferroptosis Driver	MAPK1
Ferroptosis Driver	ACSL4
Ferroptosis Driver	ZEB1
Ferroptosis Driver	KEAP1
Ferroptosis Driver	DPP4
Ferroptosis Driver	ALOX15
Ferroptosis Driver	ALOX12
Ferroptosis Driver	CDKN2A
Ferroptosis Driver	PEBP1
Ferroptosis Driver	SOCS1
Ferroptosis Driver	CDO1
Ferroptosis Driver	MYB
Ferroptosis Driver	HMOX1
Ferroptosis Driver	SLC1A5
Ferroptosis Driver	CHAC1
Ferroptosis Driver	LINC00472
Ferroptosis Driver	NOX4
Ferroptosis Driver	GOT1
Ferroptosis Driver	BECN1
Ferroptosis Driver	PRKAA2
Ferroptosis Driver	PRKAA1
Ferroptosis Driver	ELAVL1
Ferroptosis Driver	BAP1
Ferroptosis Driver	ABCC1
Ferroptosis Driver	ACSL4
Ferroptosis Driver	MIR6852
Ferroptosis Driver	ACVR1B
Ferroptosis Driver	TGFBR1
Ferroptosis Driver	BAP1
Ferroptosis Driver	ALOX12
Ferroptosis Driver	ACSL4
Ferroptosis Driver	HMOX1
Ferroptosis Driver	IFNG
Ferroptosis Driver	ANO6
Ferroptosis Driver	HMGB1
Ferroptosis Driver	TNFAIP3
Ferroptosis Driver	ATF3
Ferroptosis Driver	ATM
Ferroptosis Driver	YY1AP1
Ferroptosis Driver	EGLN2
Ferroptosis Driver	MIOX
Ferroptosis Driver	TAZ
Ferroptosis Driver	MTDH
Ferroptosis Driver	IDH1
Ferroptosis Driver	TAZ
Ferroptosis Driver	BECN1
Ferroptosis Driver	FBXW7
Ferroptosis Driver	PANX1
Ferroptosis Driver	DNAJB6
Ferroptosis Driver	ACSL4
Ferroptosis Driver	LONP1
Ferroptosis Driver	CD82
Ferroptosis Driver	IL1B
Ferroptosis Driver	POR
Ferroptosis Driver	CYB5R1
Ferroptosis Driver	ELOVL5
Ferroptosis Driver	FADS1
Ferroptosis Driver	FBW7
Ferroptosis Driver	PTEN
Ferroptosis Driver	IL6
Ferroptosis Driver	miR-182-5p
Ferroptosis Driver	miR-378a-3p
Ferroptosis Driver	CTSB
Ferroptosis Driver	ACSL4
Ferroptosis Driver	ATF4
Ferroptosis Driver	LINC00618
Ferroptosis Driver	IREB2
Ferroptosis Driver	MT1DP
Ferroptosis Driver	ACSL4
Ferroptosis Driver	PEX10
Ferroptosis Driver	KEAP1
Ferroptosis Driver	AGPAT3
Ferroptosis Driver	PEX12
Ferroptosis Driver	CHP1
Ferroptosis Driver	GPAT4
Ferroptosis Driver	BRPF1
Ferroptosis Driver	OSBPL9
Ferroptosis Driver	INTS2
Ferroptosis Driver	MMD
Ferroptosis Driver	CYP4F8
Ferroptosis Driver	MLLT1
Ferroptosis Driver	TTPA
Ferroptosis Driver	GRIA3
Ferroptosis Driver	EPT1
Ferroptosis Driver	POM121L12
Ferroptosis Driver	LIG3
Ferroptosis Driver	AEBP2
Ferroptosis Driver	AGPS
Ferroptosis Driver	CDCA3
Ferroptosis Driver	PEX2
Ferroptosis Driver	LPCAT3
Ferroptosis Driver	PEX6
Ferroptosis Driver	TIMM9
Ferroptosis Driver	DCAF7
Ferroptosis Driver	LCE2C
Ferroptosis Driver	FAR1
Ferroptosis Driver	PHF21A
Ferroptosis Driver	SMAD7
Ferroptosis Driver	LYRM1
Ferroptosis Driver	AMN
Ferroptosis Driver	PEX3
Ferroptosis Driver	MTCH1
Ferroptosis Driver	ZEB1
Ferroptosis Driver	SIRT1
Ferroptosis Driver	ACADSB
Ferroptosis Driver	PVT1
Ferroptosis Driver	hsa_circ_0008367
Ferroptosis Driver	NCOA4
Ferroptosis Driver	GSK3B
Ferroptosis Driver	MAPK8
Ferroptosis Driver	BRD7
Ferroptosis Driver	TP53
Ferroptosis Driver	SLC25A28
Ferroptosis Driver	ACSL4
Ferroptosis Driver	SLC11A2
Ferroptosis Driver	ZFAS1
Ferroptosis Driver	SLC38A1
Ferroptosis Driver	TSC1
Ferroptosis Driver	PEBP1
Ferroptosis Driver	TGFB1
Ferroptosis Driver	SNCA
Ferroptosis Driver	SIRT3
Ferroptosis Driver	PRKAA2
Ferroptosis Driver	TFRC
Ferroptosis Driver	CGAS
Ferroptosis Driver	STING1
Ferroptosis Driver	HDDC3
Ferroptosis Driver	MIR761
Ferroptosis Driver	MDM2
Ferroptosis Driver	MDM4
Ferroptosis Driver	POR
Ferroptosis Driver	MIR214
Ferroptosis Driver	DLD
Ferroptosis Driver	LONP1
Ferroptosis Driver	ACSL4
Ferroptosis Driver	DNAJB6
Ferroptosis Driver	WWTR1
Ferroptosis Driver	ATM
Ferroptosis Driver	PRKCA
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	GPX4
Ferroptosis Suppressor	AKR1C1
Ferroptosis Suppressor	AKR1C2
Ferroptosis Suppressor	AKR1C3
Ferroptosis Suppressor	GPX4
Ferroptosis Suppressor	RB1
Ferroptosis Suppressor	HSPB1
Ferroptosis Suppressor	HSF1
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	NFE2L2
Ferroptosis Suppressor	SQSTM1
Ferroptosis Suppressor	NQO1
Ferroptosis Suppressor	HMOX1
Ferroptosis Suppressor	FTH1
Ferroptosis Suppressor	MUC1
Ferroptosis Suppressor	MT1G
Ferroptosis Suppressor	NFE2L2
Ferroptosis Suppressor	SLC40A1
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	GPX4
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	CISD1
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	GPX4
Ferroptosis Suppressor	HSPA5
Ferroptosis Suppressor	ATF4
Ferroptosis Suppressor	GPX4
Ferroptosis Suppressor	ATF4
Ferroptosis Suppressor	NFE2L2
Ferroptosis Suppressor	TP53
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	HELLS
Ferroptosis Suppressor	SCD
Ferroptosis Suppressor	FADS2
Ferroptosis Suppressor	SRC
Ferroptosis Suppressor	STAT3
Ferroptosis Suppressor	NFE2L2
Ferroptosis Suppressor	PML
Ferroptosis Suppressor	NFS1
Ferroptosis Suppressor	TP63
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	TP53
Ferroptosis Suppressor	CDKN1A
Ferroptosis Suppressor	MIR137
Ferroptosis Suppressor	GPX4
Ferroptosis Suppressor	VDAC2
Ferroptosis Suppressor	FH
Ferroptosis Suppressor	CISD2
Ferroptosis Suppressor	SLC40A1
Ferroptosis Suppressor	MIR9-1
Ferroptosis Suppressor	MIR9-2
Ferroptosis Suppressor	MIR9-3
Ferroptosis Suppressor	CBS
Ferroptosis Suppressor	NFE2L2
Ferroptosis Suppressor	SQSTM1
Ferroptosis Suppressor	GPX4
Ferroptosis Suppressor	ISCU
Ferroptosis Suppressor	FTH1
Ferroptosis Suppressor	ACSL3
Ferroptosis Suppressor	OTUB1
Ferroptosis Suppressor	CD44
Ferroptosis Suppressor	LINC00336
Ferroptosis Suppressor	STAT3
Ferroptosis Suppressor	BRD4
Ferroptosis Suppressor	PRDX6
Ferroptosis Suppressor	MIR17
Ferroptosis Suppressor	SCD
Ferroptosis Suppressor	SESN2
Ferroptosis Suppressor	NF2
Ferroptosis Suppressor	ARNTL
Ferroptosis Suppressor	HIF1A
Ferroptosis Suppressor	JUN
Ferroptosis Suppressor	CA9
Ferroptosis Suppressor	HSPA5
Ferroptosis Suppressor	TMBIM4
Ferroptosis Suppressor	HSPA5
Ferroptosis Suppressor	PLIN2
Ferroptosis Suppressor	AIFM2
Ferroptosis Suppressor	AIFM2
Ferroptosis Suppressor	LAMP2
Ferroptosis Suppressor	ZFP36
Ferroptosis Suppressor	GPX4
Ferroptosis Suppressor	PROM2
Ferroptosis Suppressor	CHMP5
Ferroptosis Suppressor	CHMP6
Ferroptosis Suppressor	AKR1C1
Ferroptosis Suppressor	AKR1C2
Ferroptosis Suppressor	AKR1C3
Ferroptosis Suppressor	CBS
Ferroptosis Suppressor	NFE2L2
Ferroptosis Suppressor	CAV1
Ferroptosis Suppressor	GCH1
Ferroptosis Suppressor	SIRT3
Ferroptosis Suppressor	PIR
Ferroptosis Suppressor	GCLC
Ferroptosis Suppressor	HCAR1
Ferroptosis Suppressor	SLC16A1
Ferroptosis Suppressor	RRM2
Ferroptosis Suppressor	SCD
Ferroptosis Suppressor	NR4A1
Ferroptosis Suppressor	PIK3CA
Ferroptosis Suppressor	RPTOR
Ferroptosis Suppressor	SREBF1
Ferroptosis Suppressor	SREBF2
Ferroptosis Suppressor	FZD7
Ferroptosis Suppressor	P4HB
Ferroptosis Suppressor	BCAT2
Ferroptosis Suppressor	HSF1
Ferroptosis Suppressor	PLA2G6
Ferroptosis Suppressor	MIR424
Ferroptosis Suppressor	PARK7
Ferroptosis Suppressor	FXN
Ferroptosis Suppressor	SUV39H1
Ferroptosis Suppressor	ATF2
Ferroptosis Suppressor	CDKN1A
Ferroptosis Suppressor	STK11
Ferroptosis Suppressor	FNDC5
Ferroptosis Suppressor	CircIL4R
Ferroptosis Suppressor	CDH1
Ferroptosis Suppressor	NFE2L2
Ferroptosis Suppressor	MIR214
Ferroptosis Suppressor	NEDD4L
Ferroptosis Suppressor	SQSTM1
Ferroptosis Suppressor	TF
Ferroptosis Suppressor	FTMT
Ferroptosis Suppressor	BRD2
Ferroptosis Suppressor	BRD3
Ferroptosis Suppressor	BRD4
Ferroptosis Suppressor	BRDT
Ferroptosis Suppressor	SCD
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	DECR1
Ferroptosis Suppressor	NFE2L2
Ferroptosis Suppressor	SLC7A11
Ferroptosis Suppressor	GLRX5
Ferroptosis Suppressor	GPX4
